fut2
ვიწერები,
იწერები,
იწერება,
ვიწერებით,
იწერებით,
იწერებიან,
fut2_prfv
განმოვიწერები,
განმოიწერები,
განმოიწერება,
განმოვიწერებით,
განმოიწერებით,
განმოიწერებიან,
cond2
ვიწერებოდი,
იწერებოდი,
იწერებოდა,
ვიწერებოდით,
იწერებოდით,
იწერებოდნენ,
cond2_prfv
განმოვიწერებოდი,
განმოიწერებოდი,
განმოიწერებოდა,
განმოვიწერებოდით,
განმოიწერებოდით,
განმოიწერებოდნენ,
fut2_subj
ვიწერებოდე,
იწერებოდე,
იწერებოდეს,
ვიწერებოდეთ,
იწერებოდეთ,
იწერებოდნენ,
fut2_subj_prfv
განმოვიწერებოდე,
განმოიწერებოდე,
განმოიწერებოდეს,
განმოვიწერებოდეთ,
განმოიწერებოდეთ,
განმოიწერებოდნენ,
aor2
ვიწერე,
იწერე,
იწერა,
ვიწერეთ,
იწერეთ,
იწერნენ,
aor2_prfv
განმოვიწერე,
განმოიწერე,
განმოიწერა,
განმოვიწერეთ,
განმოიწერეთ,
განმოიწერნენ,
IIsubj2
ვიწერო,
იწერო,
იწეროს,
ვიწეროთ,
იწეროთ,
იწერონ,
IIsubj2_prfv
განმოვიწერო,
განმოიწერო,
განმოიწეროს,
განმოვიწეროთ,
განმოიწეროთ,
განმოიწერონ,
Iturm
ვწერილვარ,
წერილხარ,
წერილა,
ვწერილვართ,
წერილხართ,
წერილან,
Iturm_prfv
განმოვწერილვარ,
განმოწერილხარ,
განმოწერილა,
განმოვწერილვართ,
განმოწერილხართ,
განმოწერილან,
IIturm
ვწერილიყავი,
წერილიყავი,
წერილიყო,
ვწერილიყავით,
წერილიყავით,
წერილიყვნენ,
IIturm_prfv
განმოვწერილიყავი,
განმოწერილიყავი,
განმოწერილიყო,
განმოვწერილიყავით,
განმოწერილიყავით,
განმოწერილიყვნენ,
IIIsubj
ვწერილიყო,
წერილიყო,
წერილიყოს,
ვწერილიყოთ,
წერილიყოთ,
წერილიყონ,
IIIsubj_prfv
განმოვწერილიყო,
განმოწერილიყო,
განმოწერილიყოს,
განმოვწერილიყოთ,
განმოწერილიყოთ,
განმოწერილიყონ,
