fut2
ვიწერები,
იწერები,
იწერება,
ვიწერებით,
იწერებით,
იწერებიან,
fut2_prfv
ჩავიწერები,
ჩაიწერები,
ჩაიწერება,
ჩავიწერებით,
ჩაიწერებით,
ჩაიწერებიან,
cond2
ვიწერებოდი,
იწერებოდი,
იწერებოდა,
ვიწერებოდით,
იწერებოდით,
იწერებოდნენ,
cond2_prfv
ჩავიწერებოდი,
ჩაიწერებოდი,
ჩაიწერებოდა,
ჩავიწერებოდით,
ჩაიწერებოდით,
ჩაიწერებოდნენ,
fut2_subj
ვიწერებოდე,
იწერებოდე,
იწერებოდეს,
ვიწერებოდეთ,
იწერებოდეთ,
იწერებოდნენ,
fut2_subj_prfv
ჩავიწერებოდე,
ჩაიწერებოდე,
ჩაიწერებოდეს,
ჩავიწერებოდეთ,
ჩაიწერებოდეთ,
ჩაიწერებოდნენ,
aor2
ვიწერე,
იწერე,
იწერა,
ვიწერეთ,
იწერეთ,
იწერნენ,
aor2_prfv
ჩავიწერე,
ჩაიწერე,
ჩაიწერა,
ჩავიწერეთ,
ჩაიწერეთ,
ჩაიწერნენ,
IIsubj2
ვიწერო,
იწერო,
იწეროს,
ვიწეროთ,
იწეროთ,
იწერონ,
IIsubj2_prfv
ჩავიწერო,
ჩაიწერო,
ჩაიწეროს,
ჩავიწეროთ,
ჩაიწეროთ,
ჩაიწერონ,
Iturm
ვწერილვარ,
წერილხარ,
წერილა,
ვწერილვართ,
წერილხართ,
წერილან,
Iturm_prfv
ჩავწერილვარ,
ჩაწერილხარ,
ჩაწერილა,
ჩავწერილვართ,
ჩაწერილხართ,
ჩაწერილან,
IIturm
ვწერილიყავი,
წერილიყავი,
წერილიყო,
ვწერილიყავით,
წერილიყავით,
წერილიყვნენ,
IIturm_prfv
ჩავწერილიყავი,
ჩაწერილიყავი,
ჩაწერილიყო,
ჩავწერილიყავით,
ჩაწერილიყავით,
ჩაწერილიყვნენ,
IIIsubj
ვწერილიყო,
წერილიყო,
წერილიყოს,
ვწერილიყოთ,
წერილიყოთ,
წერილიყონ,
IIIsubj_prfv
ჩავწერილიყო,
ჩაწერილიყო,
ჩაწერილიყოს,
ჩავწერილიყოთ,
ჩაწერილიყოთ,
ჩაწერილიყონ,
