pres
ვთრთი,
თრთი,
თრთის,
ვთრთით,
თრთით,
თრთიან,
fut2
ვითრთოლებ,
ითრთოლებ,
ითრთოლებს,
ვითრთოლებთ,
ითრთოლებთ,
ითრთოლებენ,
fut2_prfv
მივითრთოლებ,
მიითრთოლებ,
მიითრთოლებს,
მივითრთოლებთ,
მიითრთოლებთ,
მიითრთოლებენ,
impf
ვთრთოდი,
თრთოდი,
თრთოდა,
ვთრთოდით,
თრთოდით,
თრთოდნენ,
cond2
ვითრთოლებდი,
ითრთოლებდი,
ითრთოლებდა,
ვითრთოლებდით,
ითრთოლებდით,
ითრთოლებდნენ,
cond2_prfv
მივითრთოლებდი,
მიითრთოლებდი,
მიითრთოლებდა,
მივითრთოლებდით,
მიითრთოლებდით,
მიითრთოლებდნენ,
subj
ვთრთოდე,
თრთოდე,
თრთოდეს,
ვთრთოდეთ,
თრთოდეთ,
თრთოდნენ,
fut2_subj
ვითრთოლებდე,
ითრთოლებდე,
ითრთოლებდეს,
ვითრთოლებდეთ,
ითრთოლებდეთ,
ითრთოლებდნენ,
fut2_subj_prfv
მივითრთოლებდე,
მიითრთოლებდე,
მიითრთოლებდეს,
მივითრთოლებდეთ,
მიითრთოლებდეთ,
მიითრთოლებდნენ,
aor2
ვითრთოლე,
ითრთოლე,
ითრთოლა,
ვითრთოლეთ,
ითრთოლეთ,
ითრთოლეს,
aor2_prfv
მივითრთოლე,
მიითრთოლე,
მიითრთოლა,
მივითრთოლეთ,
მიითრთოლეთ,
მიითრთოლეს,
IIsubj2
ვითრთოლო,
ითრთოლო,
ითრთოლოს,
ვითრთოლოთ,
ითრთოლოთ,
ითრთოლონ,
IIsubj2_prfv
მივითრთოლო,
მიითრთოლო,
მიითრთოლოს,
მივითრთოლოთ,
მიითრთოლოთ,
მიითრთოლონ,
Iturm
მითრთოლია,
გითრთოლია,
უთრთოლია,
გვითრთოლია,
გითრთოლიათ,
უთრთოლიათ,
Iturm_prfv
მიმითრთოლია,
მიგითრთოლია,
მიუთრთოლია,
მიგვითრთოლია,
მიგითრთოლიათ,
მიუთრთოლიათ,
IIturm
მეთრთოლა,
გეთრთოლა,
ეთრთოლა,
გვეთრთოლა,
გეთრთოლათ,
ეთრთოლათ,
IIturm_prfv
მიმეთრთოლა,
მიგეთრთოლა,
მიეთრთოლა,
მიგვეთრთოლა,
მიგეთრთოლათ,
მიეთრთოლათ,
IIIsubj
მეთრთოლოს,
გეთრთოლოს,
ეთრთოლოს,
გვეთრთოლოს,
გეთრთოლოთ,
ეთრთოლოთ,
IIIsubj_prfv
მიმეთრთოლოს,
მიგეთრთოლოს,
მიეთრთოლოს,
მიგვეთრთოლოს,
მიგეთრთოლოთ,
მიეთრთოლოთ,
