fut2
ვიწერები,
იწერები,
იწერება,
ვიწერებით,
იწერებით,
იწერებიან,
fut2_prfv
შთამოვიწერები,
შთამოიწერები,
შთამოიწერება,
შთამოვიწერებით,
შთამოიწერებით,
შთამოიწერებიან,
cond2
ვიწერებოდი,
იწერებოდი,
იწერებოდა,
ვიწერებოდით,
იწერებოდით,
იწერებოდნენ,
cond2_prfv
შთამოვიწერებოდი,
შთამოიწერებოდი,
შთამოიწერებოდა,
შთამოვიწერებოდით,
შთამოიწერებოდით,
შთამოიწერებოდნენ,
fut2_subj
ვიწერებოდე,
იწერებოდე,
იწერებოდეს,
ვიწერებოდეთ,
იწერებოდეთ,
იწერებოდნენ,
fut2_subj_prfv
შთამოვიწერებოდე,
შთამოიწერებოდე,
შთამოიწერებოდეს,
შთამოვიწერებოდეთ,
შთამოიწერებოდეთ,
შთამოიწერებოდნენ,
aor2
ვიწერე,
იწერე,
იწერა,
ვიწერეთ,
იწერეთ,
იწერნენ,
aor2_prfv
შთამოვიწერე,
შთამოიწერე,
შთამოიწერა,
შთამოვიწერეთ,
შთამოიწერეთ,
შთამოიწერნენ,
IIsubj2
ვიწერო,
იწერო,
იწეროს,
ვიწეროთ,
იწეროთ,
იწერონ,
IIsubj2_prfv
შთამოვიწერო,
შთამოიწერო,
შთამოიწეროს,
შთამოვიწეროთ,
შთამოიწეროთ,
შთამოიწერონ,
Iturm
ვწერილვარ,
წერილხარ,
წერილა,
ვწერილვართ,
წერილხართ,
წერილან,
Iturm_prfv
შთამოვწერილვარ,
შთამოწერილხარ,
შთამოწერილა,
შთამოვწერილვართ,
შთამოწერილხართ,
შთამოწერილან,
IIturm
ვწერილიყავი,
წერილიყავი,
წერილიყო,
ვწერილიყავით,
წერილიყავით,
წერილიყვნენ,
IIturm_prfv
შთამოვწერილიყავი,
შთამოწერილიყავი,
შთამოწერილიყო,
შთამოვწერილიყავით,
შთამოწერილიყავით,
შთამოწერილიყვნენ,
IIIsubj
ვწერილიყო,
წერილიყო,
წერილიყოს,
ვწერილიყოთ,
წერილიყოთ,
წერილიყონ,
IIIsubj_prfv
შთამოვწერილიყო,
შთამოწერილიყო,
შთამოწერილიყოს,
შთამოვწერილიყოთ,
შთამოწერილიყოთ,
შთამოწერილიყონ,
