pres
ვმოძრაობ,
მოძრაობ,
მოძრაობს,
ვმოძრაობთ,
მოძრაობთ,
მოძრაობენ,
fut2
ვიმოძრავებ,
იმოძრავებ,
იმოძრავებს,
ვიმოძრავებთ,
იმოძრავებთ,
იმოძრავებენ,
fut2_prfv
წარვიმოძრავებ,
წარიმოძრავებ,
წარიმოძრავებს,
წარვიმოძრავებთ,
წარიმოძრავებთ,
წარიმოძრავებენ,
impf
ვმოძრაობდი,
მოძრაობდი,
მოძრაობდა,
ვმოძრაობდით,
მოძრაობდით,
მოძრაობდნენ,
cond2
ვიმოძრავებდი,
იმოძრავებდი,
იმოძრავებდა,
ვიმოძრავებდით,
იმოძრავებდით,
იმოძრავებდნენ,
cond2_prfv
წარვიმოძრავებდი,
წარიმოძრავებდი,
წარიმოძრავებდა,
წარვიმოძრავებდით,
წარიმოძრავებდით,
წარიმოძრავებდნენ,
subj
ვმოძრაობდე,
მოძრაობდე,
მოძრაობდეს,
ვმოძრაობდეთ,
მოძრაობდეთ,
მოძრაობდნენ,
fut2_subj
ვიმოძრავებდე,
იმოძრავებდე,
იმოძრავებდეს,
ვიმოძრავებდეთ,
იმოძრავებდეთ,
იმოძრავებდნენ,
fut2_subj_prfv
წარვიმოძრავებდე,
წარიმოძრავებდე,
წარიმოძრავებდეს,
წარვიმოძრავებდეთ,
წარიმოძრავებდეთ,
წარიმოძრავებდნენ,
aor2
ვიმოძრავე,
იმოძრავე,
იმოძრავა,
ვიმოძრავეთ,
იმოძრავეთ,
იმოძრავეს,
aor2_prfv
წარვიმოძრავე,
წარიმოძრავე,
წარიმოძრავა,
წარვიმოძრავეთ,
წარიმოძრავეთ,
წარიმოძრავეს,
IIsubj2
ვიმოძრაო,
იმოძრაო,
იმოძრაოს,
ვიმოძრაოთ,
იმოძრაოთ,
იმოძრაონ,
IIsubj2_prfv
წარვიმოძრაო,
წარიმოძრაო,
წარიმოძრაოს,
წარვიმოძრაოთ,
წარიმოძრაოთ,
წარიმოძრაონ,
Iturm
მიმოძრავია,
გიმოძრავია,
უმოძრავია,
გვიმოძრავია,
გიმოძრავიათ,
უმოძრავიათ,
Iturm_prfv
წარმიმოძრავია,
წარგიმოძრავია,
წარუმოძრავია,
წარგვიმოძრავია,
წარგიმოძრავიათ,
წარუმოძრავიათ,
IIturm
მემოძრავა,
გემოძრავა,
ემოძრავა,
გვემოძრავა,
გემოძრავათ,
ემოძრავათ,
IIturm_prfv
წარმემოძრავა,
წარგემოძრავა,
წარემოძრავა,
წარგვემოძრავა,
წარგემოძრავათ,
წარემოძრავათ,
IIIsubj
მემოძრაოს,
გემოძრაოს,
ემოძრაოს,
გვემოძრაოს,
გემოძრაოთ,
ემოძრაოთ,
IIIsubj_prfv
წარმემოძრაოს,
წარგემოძრაოს,
წარემოძრაოს,
წარგვემოძრაოს,
წარგემოძრაოთ,
წარემოძრაოთ,
