pres
ვთრთი,
თრთი,
თრთის,
ვთრთით,
თრთით,
თრთიან,
fut2
ვითრთოლებ,
ითრთოლებ,
ითრთოლებს,
ვითრთოლებთ,
ითრთოლებთ,
ითრთოლებენ,
fut2_prfv
დავითრთოლებ,
დაითრთოლებ,
დაითრთოლებს,
დავითრთოლებთ,
დაითრთოლებთ,
დაითრთოლებენ,
impf
ვთრთოდი,
თრთოდი,
თრთოდა,
ვთრთოდით,
თრთოდით,
თრთოდნენ,
cond2
ვითრთოლებდი,
ითრთოლებდი,
ითრთოლებდა,
ვითრთოლებდით,
ითრთოლებდით,
ითრთოლებდნენ,
cond2_prfv
დავითრთოლებდი,
დაითრთოლებდი,
დაითრთოლებდა,
დავითრთოლებდით,
დაითრთოლებდით,
დაითრთოლებდნენ,
subj
ვთრთოდე,
თრთოდე,
თრთოდეს,
ვთრთოდეთ,
თრთოდეთ,
თრთოდნენ,
fut2_subj
ვითრთოლებდე,
ითრთოლებდე,
ითრთოლებდეს,
ვითრთოლებდეთ,
ითრთოლებდეთ,
ითრთოლებდნენ,
fut2_subj_prfv
დავითრთოლებდე,
დაითრთოლებდე,
დაითრთოლებდეს,
დავითრთოლებდეთ,
დაითრთოლებდეთ,
დაითრთოლებდნენ,
aor2
ვითრთოლე,
ითრთოლე,
ითრთოლა,
ვითრთოლეთ,
ითრთოლეთ,
ითრთოლეს,
aor2_prfv
დავითრთოლე,
დაითრთოლე,
დაითრთოლა,
დავითრთოლეთ,
დაითრთოლეთ,
დაითრთოლეს,
IIsubj2
ვითრთოლო,
ითრთოლო,
ითრთოლოს,
ვითრთოლოთ,
ითრთოლოთ,
ითრთოლონ,
IIsubj2_prfv
დავითრთოლო,
დაითრთოლო,
დაითრთოლოს,
დავითრთოლოთ,
დაითრთოლოთ,
დაითრთოლონ,
Iturm
მითრთოლია,
გითრთოლია,
უთრთოლია,
გვითრთოლია,
გითრთოლიათ,
უთრთოლიათ,
Iturm_prfv
დამითრთოლია,
დაგითრთოლია,
დაუთრთოლია,
დაგვითრთოლია,
დაგითრთოლიათ,
დაუთრთოლიათ,
IIturm
მეთრთოლა,
გეთრთოლა,
ეთრთოლა,
გვეთრთოლა,
გეთრთოლათ,
ეთრთოლათ,
IIturm_prfv
დამეთრთოლა,
დაგეთრთოლა,
დაეთრთოლა,
დაგვეთრთოლა,
დაგეთრთოლათ,
დაეთრთოლათ,
IIIsubj
მეთრთოლოს,
გეთრთოლოს,
ეთრთოლოს,
გვეთრთოლოს,
გეთრთოლოთ,
ეთრთოლოთ,
IIIsubj_prfv
დამეთრთოლოს,
დაგეთრთოლოს,
დაეთრთოლოს,
დაგვეთრთოლოს,
დაგეთრთოლოთ,
დაეთრთოლოთ,
