fut2
ვიწერები,
იწერები,
იწერება,
ვიწერებით,
იწერებით,
იწერებიან,
fut2_prfv
გარდამოვიწერები,
გარდამოიწერები,
გარდამოიწერება,
გარდამოვიწერებით,
გარდამოიწერებით,
გარდამოიწერებიან,
cond2
ვიწერებოდი,
იწერებოდი,
იწერებოდა,
ვიწერებოდით,
იწერებოდით,
იწერებოდნენ,
cond2_prfv
გარდამოვიწერებოდი,
გარდამოიწერებოდი,
გარდამოიწერებოდა,
გარდამოვიწერებოდით,
გარდამოიწერებოდით,
გარდამოიწერებოდნენ,
fut2_subj
ვიწერებოდე,
იწერებოდე,
იწერებოდეს,
ვიწერებოდეთ,
იწერებოდეთ,
იწერებოდნენ,
fut2_subj_prfv
გარდამოვიწერებოდე,
გარდამოიწერებოდე,
გარდამოიწერებოდეს,
გარდამოვიწერებოდეთ,
გარდამოიწერებოდეთ,
გარდამოიწერებოდნენ,
aor2
ვიწერე,
იწერე,
იწერა,
ვიწერეთ,
იწერეთ,
იწერნენ,
aor2_prfv
გარდამოვიწერე,
გარდამოიწერე,
გარდამოიწერა,
გარდამოვიწერეთ,
გარდამოიწერეთ,
გარდამოიწერნენ,
IIsubj2
ვიწერო,
იწერო,
იწეროს,
ვიწეროთ,
იწეროთ,
იწერონ,
IIsubj2_prfv
გარდამოვიწერო,
გარდამოიწერო,
გარდამოიწეროს,
გარდამოვიწეროთ,
გარდამოიწეროთ,
გარდამოიწერონ,
Iturm
ვწერილვარ,
წერილხარ,
წერილა,
ვწერილვართ,
წერილხართ,
წერილან,
Iturm_prfv
გარდამოვწერილვარ,
გარდამოწერილხარ,
გარდამოწერილა,
გარდამოვწერილვართ,
გარდამოწერილხართ,
გარდამოწერილან,
IIturm
ვწერილიყავი,
წერილიყავი,
წერილიყო,
ვწერილიყავით,
წერილიყავით,
წერილიყვნენ,
IIturm_prfv
გარდამოვწერილიყავი,
გარდამოწერილიყავი,
გარდამოწერილიყო,
გარდამოვწერილიყავით,
გარდამოწერილიყავით,
გარდამოწერილიყვნენ,
IIIsubj
ვწერილიყო,
წერილიყო,
წერილიყოს,
ვწერილიყოთ,
წერილიყოთ,
წერილიყონ,
IIIsubj_prfv
გარდამოვწერილიყო,
გარდამოწერილიყო,
გარდამოწერილიყოს,
გარდამოვწერილიყოთ,
გარდამოწერილიყოთ,
გარდამოწერილიყონ,
