pres
ვთრთი,
თრთი,
თრთის,
ვთრთით,
თრთით,
თრთიან,
fut2
ვითრთოლებ,
ითრთოლებ,
ითრთოლებს,
ვითრთოლებთ,
ითრთოლებთ,
ითრთოლებენ,
fut2_prfv
ავითრთოლებ,
აითრთოლებ,
აითრთოლებს,
ავითრთოლებთ,
აითრთოლებთ,
აითრთოლებენ,
impf
ვთრთოდი,
თრთოდი,
თრთოდა,
ვთრთოდით,
თრთოდით,
თრთოდნენ,
cond2
ვითრთოლებდი,
ითრთოლებდი,
ითრთოლებდა,
ვითრთოლებდით,
ითრთოლებდით,
ითრთოლებდნენ,
cond2_prfv
ავითრთოლებდი,
აითრთოლებდი,
აითრთოლებდა,
ავითრთოლებდით,
აითრთოლებდით,
აითრთოლებდნენ,
subj
ვთრთოდე,
თრთოდე,
თრთოდეს,
ვთრთოდეთ,
თრთოდეთ,
თრთოდნენ,
fut2_subj
ვითრთოლებდე,
ითრთოლებდე,
ითრთოლებდეს,
ვითრთოლებდეთ,
ითრთოლებდეთ,
ითრთოლებდნენ,
fut2_subj_prfv
ავითრთოლებდე,
აითრთოლებდე,
აითრთოლებდეს,
ავითრთოლებდეთ,
აითრთოლებდეთ,
აითრთოლებდნენ,
aor2
ვითრთოლე,
ითრთოლე,
ითრთოლა,
ვითრთოლეთ,
ითრთოლეთ,
ითრთოლეს,
aor2_prfv
ავითრთოლე,
აითრთოლე,
აითრთოლა,
ავითრთოლეთ,
აითრთოლეთ,
აითრთოლეს,
IIsubj2
ვითრთოლო,
ითრთოლო,
ითრთოლოს,
ვითრთოლოთ,
ითრთოლოთ,
ითრთოლონ,
IIsubj2_prfv
ავითრთოლო,
აითრთოლო,
აითრთოლოს,
ავითრთოლოთ,
აითრთოლოთ,
აითრთოლონ,
Iturm
მითრთოლია,
გითრთოლია,
უთრთოლია,
გვითრთოლია,
გითრთოლიათ,
უთრთოლიათ,
Iturm_prfv
ამითრთოლია,
აგითრთოლია,
აუთრთოლია,
აგვითრთოლია,
აგითრთოლიათ,
აუთრთოლიათ,
IIturm
მეთრთოლა,
გეთრთოლა,
ეთრთოლა,
გვეთრთოლა,
გეთრთოლათ,
ეთრთოლათ,
IIturm_prfv
ამეთრთოლა,
აგეთრთოლა,
აეთრთოლა,
აგვეთრთოლა,
აგეთრთოლათ,
აეთრთოლათ,
IIIsubj
მეთრთოლოს,
გეთრთოლოს,
ეთრთოლოს,
გვეთრთოლოს,
გეთრთოლოთ,
ეთრთოლოთ,
IIIsubj_prfv
ამეთრთოლოს,
აგეთრთოლოს,
აეთრთოლოს,
აგვეთრთოლოს,
აგეთრთოლოთ,
აეთრთოლოთ,
