pres
ვყვირი,
ყვირი,
ყვირის,
ვყვირით,
ყვირით,
ყვირიან,
fut2
ვიყვირებ,
იყვირებ,
იყვირებს,
ვიყვირებთ,
იყვირებთ,
იყვირებენ,
fut2_prfv
ჩავიყვირებ,
ჩაიყვირებ,
ჩაიყვირებს,
ჩავიყვირებთ,
ჩაიყვირებთ,
ჩაიყვირებენ,
impf
ვყვიროდი,
ყვიროდი,
ყვიროდა,
ვყვიროდით,
ყვიროდით,
ყვიროდნენ,
cond2
ვიყვირებდი,
იყვირებდი,
იყვირებდა,
ვიყვირებდით,
იყვირებდით,
იყვირებდნენ,
cond2_prfv
ჩავიყვირებდი,
ჩაიყვირებდი,
ჩაიყვირებდა,
ჩავიყვირებდით,
ჩაიყვირებდით,
ჩაიყვირებდნენ,
subj
ვყვიროდე,
ყვიროდე,
ყვიროდეს,
ვყვიროდეთ,
ყვიროდეთ,
ყვიროდნენ,
fut2_subj
ვიყვირებდე,
იყვირებდე,
იყვირებდეს,
ვიყვირებდეთ,
იყვირებდეთ,
იყვირებდნენ,
fut2_subj_prfv
ჩავიყვირებდე,
ჩაიყვირებდე,
ჩაიყვირებდეს,
ჩავიყვირებდეთ,
ჩაიყვირებდეთ,
ჩაიყვირებდნენ,
aor2
ვიყვირე,
იყვირე,
იყვირა,
ვიყვირეთ,
იყვირეთ,
იყვირეს,
aor2_prfv
ჩავიყვირე,
ჩაიყვირე,
ჩაიყვირა,
ჩავიყვირეთ,
ჩაიყვირეთ,
ჩაიყვირეს,
IIsubj2
ვიყვირო,
იყვირო,
იყვიროს,
ვიყვიროთ,
იყვიროთ,
იყვირონ,
IIsubj2_prfv
ჩავიყვირო,
ჩაიყვირო,
ჩაიყვიროს,
ჩავიყვიროთ,
ჩაიყვიროთ,
ჩაიყვირონ,
Iturm
მიყვირია,
გიყვირია,
უყვირია,
გვიყვირია,
გიყვირიათ,
უყვირიათ,
Iturm_prfv
ჩამიყვირია,
ჩაგიყვირია,
ჩაუყვირია,
ჩაგვიყვირია,
ჩაგიყვირიათ,
ჩაუყვირიათ,
IIturm
მეყვირა,
გეყვირა,
ეყვირა,
გვეყვირა,
გეყვირათ,
ეყვირათ,
IIturm_prfv
ჩამეყვირა,
ჩაგეყვირა,
ჩაეყვირა,
ჩაგვეყვირა,
ჩაგეყვირათ,
ჩაეყვირათ,
IIIsubj
მეყვიროს,
გეყვიროს,
ეყვიროს,
გვეყვიროს,
გეყვიროთ,
ეყვიროთ,
IIIsubj_prfv
ჩამეყვიროს,
ჩაგეყვიროს,
ჩაეყვიროს,
ჩაგვეყვიროს,
ჩაგეყვიროთ,
ჩაეყვიროთ,
