pres
ვთრთი,
თრთი,
თრთის,
ვთრთით,
თრთით,
თრთიან,
fut2
ვითრთოლებ,
ითრთოლებ,
ითრთოლებს,
ვითრთოლებთ,
ითრთოლებთ,
ითრთოლებენ,
fut2_prfv
შემოვითრთოლებ,
შემოითრთოლებ,
შემოითრთოლებს,
შემოვითრთოლებთ,
შემოითრთოლებთ,
შემოითრთოლებენ,
impf
ვთრთოდი,
თრთოდი,
თრთოდა,
ვთრთოდით,
თრთოდით,
თრთოდნენ,
cond2
ვითრთოლებდი,
ითრთოლებდი,
ითრთოლებდა,
ვითრთოლებდით,
ითრთოლებდით,
ითრთოლებდნენ,
cond2_prfv
შემოვითრთოლებდი,
შემოითრთოლებდი,
შემოითრთოლებდა,
შემოვითრთოლებდით,
შემოითრთოლებდით,
შემოითრთოლებდნენ,
subj
ვთრთოდე,
თრთოდე,
თრთოდეს,
ვთრთოდეთ,
თრთოდეთ,
თრთოდნენ,
fut2_subj
ვითრთოლებდე,
ითრთოლებდე,
ითრთოლებდეს,
ვითრთოლებდეთ,
ითრთოლებდეთ,
ითრთოლებდნენ,
fut2_subj_prfv
შემოვითრთოლებდე,
შემოითრთოლებდე,
შემოითრთოლებდეს,
შემოვითრთოლებდეთ,
შემოითრთოლებდეთ,
შემოითრთოლებდნენ,
aor2
ვითრთოლე,
ითრთოლე,
ითრთოლა,
ვითრთოლეთ,
ითრთოლეთ,
ითრთოლეს,
aor2_prfv
შემოვითრთოლე,
შემოითრთოლე,
შემოითრთოლა,
შემოვითრთოლეთ,
შემოითრთოლეთ,
შემოითრთოლეს,
IIsubj2
ვითრთოლო,
ითრთოლო,
ითრთოლოს,
ვითრთოლოთ,
ითრთოლოთ,
ითრთოლონ,
IIsubj2_prfv
შემოვითრთოლო,
შემოითრთოლო,
შემოითრთოლოს,
შემოვითრთოლოთ,
შემოითრთოლოთ,
შემოითრთოლონ,
Iturm
მითრთოლია,
გითრთოლია,
უთრთოლია,
გვითრთოლია,
გითრთოლიათ,
უთრთოლიათ,
Iturm_prfv
შემომითრთოლია,
შემოგითრთოლია,
შემოუთრთოლია,
შემოგვითრთოლია,
შემოგითრთოლიათ,
შემოუთრთოლიათ,
IIturm
მეთრთოლა,
გეთრთოლა,
ეთრთოლა,
გვეთრთოლა,
გეთრთოლათ,
ეთრთოლათ,
IIturm_prfv
შემომეთრთოლა,
შემოგეთრთოლა,
შემოეთრთოლა,
შემოგვეთრთოლა,
შემოგეთრთოლათ,
შემოეთრთოლათ,
IIIsubj
მეთრთოლოს,
გეთრთოლოს,
ეთრთოლოს,
გვეთრთოლოს,
გეთრთოლოთ,
ეთრთოლოთ,
IIIsubj_prfv
შემომეთრთოლოს,
შემოგეთრთოლოს,
შემოეთრთოლოს,
შემოგვეთრთოლოს,
შემოგეთრთოლოთ,
შემოეთრთოლოთ,
