fut2
ვუჩქარებ,
უჩქარებ,
უჩქარებს,
ვუჩქარებთ,
უჩქარებთ,
უჩქარებენ,
fut2_prfv
განმოვუჩქარებ,
განმოუჩქარებ,
განმოუჩქარებს,
განმოვუჩქარებთ,
განმოუჩქარებთ,
განმოუჩქარებენ,
cond2
ვუჩქარებდი,
უჩქარებდი,
უჩქარებდა,
ვუჩქარებდით,
უჩქარებდით,
უჩქარებდნენ,
cond2_prfv
განმოვუჩქარებდი,
განმოუჩქარებდი,
განმოუჩქარებდა,
განმოვუჩქარებდით,
განმოუჩქარებდით,
განმოუჩქარებდნენ,
fut2_subj
ვუჩქარებდე,
უჩქარებდე,
უჩქარებდეს,
ვუჩქარებდეთ,
უჩქარებდეთ,
უჩქარებდნენ,
fut2_subj_prfv
განმოვუჩქარებდე,
განმოუჩქარებდე,
განმოუჩქარებდეს,
განმოვუჩქარებდეთ,
განმოუჩქარებდეთ,
განმოუჩქარებდნენ,
aor2
ვუჩქარე,
უჩქარე,
უჩქარა,
ვუჩქარეთ,
უჩქარეთ,
უჩქარეს,
aor2_prfv
განმოვუჩქარე,
განმოუჩქარე,
განმოუჩქარა,
განმოვუჩქარეთ,
განმოუჩქარეთ,
განმოუჩქარეს,
IIsubj2
ვუჩქარო,
უჩქარო,
უჩქაროს,
ვუჩქაროთ,
უჩქაროთ,
უჩქარონ,
IIsubj2_prfv
განმოვუჩქარო,
განმოუჩქარო,
განმოუჩქაროს,
განმოვუჩქაროთ,
განმოუჩქაროთ,
განმოუჩქარონ,
Iturm
მიჩქარებია,
გიჩქარებია,
უჩქარებია,
გვიჩქარებია,
გიჩქარებიათ,
უჩქარებიათ,
Iturm_prfv
განმომიჩქარებია,
განმოგიჩქარებია,
განმოუჩქარებია,
განმოგვიჩქარებია,
განმოგიჩქარებიათ,
განმოუჩქარებიათ,
IIturm
მეჩქარებინა,
გეჩქარებინა,
ეჩქარებინა,
გვეჩქარებინა,
გეჩქარებინათ,
ეჩქარებინათ,
IIturm_prfv
განმომეჩქარებინა,
განმოგეჩქარებინა,
განმოეჩქარებინა,
განმოგვეჩქარებინა,
განმოგეჩქარებინათ,
განმოეჩქარებინათ,
IIIsubj
მეჩქარებინოს,
გეჩქარებინოს,
ეჩქარებინოს,
გვეჩქარებინოს,
გეჩქარებინოთ,
ეჩქარებინოთ,
IIIsubj_prfv
განმომეჩქარებინოს,
განმოგეჩქარებინოს,
განმოეჩქარებინოს,
განმოგვეჩქარებინოს,
განმოგეჩქარებინოთ,
განმოეჩქარებინოთ,
