fut2
ვუჩქარებ,
უჩქარებ,
უჩქარებს,
ვუჩქარებთ,
უჩქარებთ,
უჩქარებენ,
fut2_prfv
წარვუჩქარებ,
წარუჩქარებ,
წარუჩქარებს,
წარვუჩქარებთ,
წარუჩქარებთ,
წარუჩქარებენ,
cond2
ვუჩქარებდი,
უჩქარებდი,
უჩქარებდა,
ვუჩქარებდით,
უჩქარებდით,
უჩქარებდნენ,
cond2_prfv
წარვუჩქარებდი,
წარუჩქარებდი,
წარუჩქარებდა,
წარვუჩქარებდით,
წარუჩქარებდით,
წარუჩქარებდნენ,
fut2_subj
ვუჩქარებდე,
უჩქარებდე,
უჩქარებდეს,
ვუჩქარებდეთ,
უჩქარებდეთ,
უჩქარებდნენ,
fut2_subj_prfv
წარვუჩქარებდე,
წარუჩქარებდე,
წარუჩქარებდეს,
წარვუჩქარებდეთ,
წარუჩქარებდეთ,
წარუჩქარებდნენ,
aor2
ვუჩქარე,
უჩქარე,
უჩქარა,
ვუჩქარეთ,
უჩქარეთ,
უჩქარეს,
aor2_prfv
წარვუჩქარე,
წარუჩქარე,
წარუჩქარა,
წარვუჩქარეთ,
წარუჩქარეთ,
წარუჩქარეს,
IIsubj2
ვუჩქარო,
უჩქარო,
უჩქაროს,
ვუჩქაროთ,
უჩქაროთ,
უჩქარონ,
IIsubj2_prfv
წარვუჩქარო,
წარუჩქარო,
წარუჩქაროს,
წარვუჩქაროთ,
წარუჩქაროთ,
წარუჩქარონ,
Iturm
მიჩქარებია,
გიჩქარებია,
უჩქარებია,
გვიჩქარებია,
გიჩქარებიათ,
უჩქარებიათ,
Iturm_prfv
წარმიჩქარებია,
წარგიჩქარებია,
წარუჩქარებია,
წარგვიჩქარებია,
წარგიჩქარებიათ,
წარუჩქარებიათ,
IIturm
მეჩქარებინა,
გეჩქარებინა,
ეჩქარებინა,
გვეჩქარებინა,
გეჩქარებინათ,
ეჩქარებინათ,
IIturm_prfv
წარმეჩქარებინა,
წარგეჩქარებინა,
წარეჩქარებინა,
წარგვეჩქარებინა,
წარგეჩქარებინათ,
წარეჩქარებინათ,
IIIsubj
მეჩქარებინოს,
გეჩქარებინოს,
ეჩქარებინოს,
გვეჩქარებინოს,
გეჩქარებინოთ,
ეჩქარებინოთ,
IIIsubj_prfv
წარმეჩქარებინოს,
წარგეჩქარებინოს,
წარეჩქარებინოს,
წარგვეჩქარებინოს,
წარგეჩქარებინოთ,
წარეჩქარებინოთ,
