pres
ვბღავი,
ბღავი,
ბღავის,
ვბღავით,
ბღავით,
ბღავიან,
fut2
ვიბღავლებ,
იბღავლებ,
იბღავლებს,
ვიბღავლებთ,
იბღავლებთ,
იბღავლებენ,
fut2_prfv
წარმოვიბღავლებ,
წარმოიბღავლებ,
წარმოიბღავლებს,
წარმოვიბღავლებთ,
წარმოიბღავლებთ,
წარმოიბღავლებენ,
impf
ვბღაოდი,
ბღაოდი,
ბღაოდა,
ვბღაოდით,
ბღაოდით,
ბღაოდნენ,
cond2
ვიბღავლებდი,
იბღავლებდი,
იბღავლებდა,
ვიბღავლებდით,
იბღავლებდით,
იბღავლებდნენ,
cond2_prfv
წარმოვიბღავლებდი,
წარმოიბღავლებდი,
წარმოიბღავლებდა,
წარმოვიბღავლებდით,
წარმოიბღავლებდით,
წარმოიბღავლებდნენ,
subj
ვბღაოდე,
ბღაოდე,
ბღაოდეს,
ვბღაოდეთ,
ბღაოდეთ,
ბღაოდნენ,
fut2_subj
ვიბღავლებდე,
იბღავლებდე,
იბღავლებდეს,
ვიბღავლებდეთ,
იბღავლებდეთ,
იბღავლებდნენ,
fut2_subj_prfv
წარმოვიბღავლებდე,
წარმოიბღავლებდე,
წარმოიბღავლებდეს,
წარმოვიბღავლებდეთ,
წარმოიბღავლებდეთ,
წარმოიბღავლებდნენ,
aor2
ვიბღავლე,
იბღავლე,
იბღავლა,
ვიბღავლეთ,
იბღავლეთ,
იბღავლეს,
aor2_prfv
წარმოვიბღავლე,
წარმოიბღავლე,
წარმოიბღავლა,
წარმოვიბღავლეთ,
წარმოიბღავლეთ,
წარმოიბღავლეს,
IIsubj2
ვიბღავლო,
იბღავლო,
იბღავლოს,
ვიბღავლოთ,
იბღავლოთ,
იბღავლონ,
IIsubj2_prfv
წარმოვიბღავლო,
წარმოიბღავლო,
წარმოიბღავლოს,
წარმოვიბღავლოთ,
წარმოიბღავლოთ,
წარმოიბღავლონ,
Iturm
მიბღავლია,
გიბღავლია,
უბღავლია,
გვიბღავლია,
გიბღავლიათ,
უბღავლიათ,
Iturm_prfv
წარმომიბღავლია,
წარმოგიბღავლია,
წარმოუბღავლია,
წარმოგვიბღავლია,
წარმოგიბღავლიათ,
წარმოუბღავლიათ,
IIturm
მებღავლა,
გებღავლა,
ებღავლა,
გვებღავლა,
გებღავლათ,
ებღავლათ,
IIturm_prfv
წარმომებღავლა,
წარმოგებღავლა,
წარმოებღავლა,
წარმოგვებღავლა,
წარმოგებღავლათ,
წარმოებღავლათ,
IIIsubj
მებღავლოს,
გებღავლოს,
ებღავლოს,
გვებღავლოს,
გებღავლოთ,
ებღავლოთ,
IIIsubj_prfv
წარმომებღავლოს,
წარმოგებღავლოს,
წარმოებღავლოს,
წარმოგვებღავლოს,
წარმოგებღავლოთ,
წარმოებღავლოთ,
