fut2
ვიძინებ,
იძინებ,
იძინებს,
ვიძინებთ,
იძინებთ,
იძინებენ,
fut2_prfv
გარდავიძინებ,
გარდაიძინებ,
გარდაიძინებს,
გარდავიძინებთ,
გარდაიძინებთ,
გარდაიძინებენ,
cond2
ვიძინებდი,
იძინებდი,
იძინებდა,
ვიძინებდით,
იძინებდით,
იძინებდნენ,
cond2_prfv
გარდავიძინებდი,
გარდაიძინებდი,
გარდაიძინებდა,
გარდავიძინებდით,
გარდაიძინებდით,
გარდაიძინებდნენ,
fut2_subj
ვიძინებდე,
იძინებდე,
იძინებდეს,
ვიძინებდეთ,
იძინებდეთ,
იძინებდნენ,
fut2_subj_prfv
გარდავიძინებდე,
გარდაიძინებდე,
გარდაიძინებდეს,
გარდავიძინებდეთ,
გარდაიძინებდეთ,
გარდაიძინებდნენ,
aor2
ვიძინე,
იძინე,
იძინა,
ვიძინეთ,
იძინეთ,
იძინეს,
aor2_prfv
გარდავიძინე,
გარდაიძინე,
გარდაიძინა,
გარდავიძინეთ,
გარდაიძინეთ,
გარდაიძინეს,
IIsubj2
ვიძინო,
იძინო,
იძინოს,
ვიძინოთ,
იძინოთ,
იძინონ,
IIsubj2_prfv
გარდავიძინო,
გარდაიძინო,
გარდაიძინოს,
გარდავიძინოთ,
გარდაიძინოთ,
გარდაიძინონ,
Iturm
მიძინია,
გიძინია,
უძინია,
გვიძინია,
გიძინიათ,
უძინიათ,
Iturm_prfv
გარდამიძინია,
გარდაგიძინია,
გარდაუძინია,
გარდაგვიძინია,
გარდაგიძინიათ,
გარდაუძინიათ,
IIturm
მეძინა,
გეძინა,
ეძინა,
გვეძინა,
გეძინათ,
ეძინათ,
IIturm_prfv
გარდამეძინა,
გარდაგეძინა,
გარდაეძინა,
გარდაგვეძინა,
გარდაგეძინათ,
გარდაეძინათ,
IIIsubj
მეძინოს,
გეძინოს,
ეძინოს,
გვეძინოს,
გეძინოთ,
ეძინოთ,
IIIsubj_prfv
გარდამეძინოს,
გარდაგეძინოს,
გარდაეძინოს,
გარდაგვეძინოს,
გარდაგეძინოთ,
გარდაეძინოთ,
