fut2
ვიწერები,
იწერები,
იწერება,
ვიწერებით,
იწერებით,
იწერებიან,
fut2_prfv
მივიწერები,
მიიწერები,
მიიწერება,
მივიწერებით,
მიიწერებით,
მიიწერებიან,
cond2
ვიწერებოდი,
იწერებოდი,
იწერებოდა,
ვიწერებოდით,
იწერებოდით,
იწერებოდნენ,
cond2_prfv
მივიწერებოდი,
მიიწერებოდი,
მიიწერებოდა,
მივიწერებოდით,
მიიწერებოდით,
მიიწერებოდნენ,
fut2_subj
ვიწერებოდე,
იწერებოდე,
იწერებოდეს,
ვიწერებოდეთ,
იწერებოდეთ,
იწერებოდნენ,
fut2_subj_prfv
მივიწერებოდე,
მიიწერებოდე,
მიიწერებოდეს,
მივიწერებოდეთ,
მიიწერებოდეთ,
მიიწერებოდნენ,
aor2
ვიწერე,
იწერე,
იწერა,
ვიწერეთ,
იწერეთ,
იწერნენ,
aor2_prfv
მივიწერე,
მიიწერე,
მიიწერა,
მივიწერეთ,
მიიწერეთ,
მიიწერნენ,
IIsubj2
ვიწერო,
იწერო,
იწეროს,
ვიწეროთ,
იწეროთ,
იწერონ,
IIsubj2_prfv
მივიწერო,
მიიწერო,
მიიწეროს,
მივიწეროთ,
მიიწეროთ,
მიიწერონ,
Iturm
ვწერილვარ,
წერილხარ,
წერილა,
ვწერილვართ,
წერილხართ,
წერილან,
Iturm_prfv
მივწერილვარ,
მიწერილხარ,
მიწერილა,
მივწერილვართ,
მიწერილხართ,
მიწერილან,
IIturm
ვწერილიყავი,
წერილიყავი,
წერილიყო,
ვწერილიყავით,
წერილიყავით,
წერილიყვნენ,
IIturm_prfv
მივწერილიყავი,
მიწერილიყავი,
მიწერილიყო,
მივწერილიყავით,
მიწერილიყავით,
მიწერილიყვნენ,
IIIsubj
ვწერილიყო,
წერილიყო,
წერილიყოს,
ვწერილიყოთ,
წერილიყოთ,
წერილიყონ,
IIIsubj_prfv
მივწერილიყო,
მიწერილიყო,
მიწერილიყოს,
მივწერილიყოთ,
მიწერილიყოთ,
მიწერილიყონ,
