fut2
ვიწერები,
იწერები,
იწერება,
ვიწერებით,
იწერებით,
იწერებიან,
fut2_prfv
წავიწერები,
წაიწერები,
წაიწერება,
წავიწერებით,
წაიწერებით,
წაიწერებიან,
cond2
ვიწერებოდი,
იწერებოდი,
იწერებოდა,
ვიწერებოდით,
იწერებოდით,
იწერებოდნენ,
cond2_prfv
წავიწერებოდი,
წაიწერებოდი,
წაიწერებოდა,
წავიწერებოდით,
წაიწერებოდით,
წაიწერებოდნენ,
fut2_subj
ვიწერებოდე,
იწერებოდე,
იწერებოდეს,
ვიწერებოდეთ,
იწერებოდეთ,
იწერებოდნენ,
fut2_subj_prfv
წავიწერებოდე,
წაიწერებოდე,
წაიწერებოდეს,
წავიწერებოდეთ,
წაიწერებოდეთ,
წაიწერებოდნენ,
aor2
ვიწერე,
იწერე,
იწერა,
ვიწერეთ,
იწერეთ,
იწერნენ,
aor2_prfv
წავიწერე,
წაიწერე,
წაიწერა,
წავიწერეთ,
წაიწერეთ,
წაიწერნენ,
IIsubj2
ვიწერო,
იწერო,
იწეროს,
ვიწეროთ,
იწეროთ,
იწერონ,
IIsubj2_prfv
წავიწერო,
წაიწერო,
წაიწეროს,
წავიწეროთ,
წაიწეროთ,
წაიწერონ,
Iturm
ვწერილვარ,
წერილხარ,
წერილა,
ვწერილვართ,
წერილხართ,
წერილან,
Iturm_prfv
წავწერილვარ,
წაწერილხარ,
წაწერილა,
წავწერილვართ,
წაწერილხართ,
წაწერილან,
IIturm
ვწერილიყავი,
წერილიყავი,
წერილიყო,
ვწერილიყავით,
წერილიყავით,
წერილიყვნენ,
IIturm_prfv
წავწერილიყავი,
წაწერილიყავი,
წაწერილიყო,
წავწერილიყავით,
წაწერილიყავით,
წაწერილიყვნენ,
IIIsubj
ვწერილიყო,
წერილიყო,
წერილიყოს,
ვწერილიყოთ,
წერილიყოთ,
წერილიყონ,
IIIsubj_prfv
წავწერილიყო,
წაწერილიყო,
წაწერილიყოს,
წავწერილიყოთ,
წაწერილიყოთ,
წაწერილიყონ,
